"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-04,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-05,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-06,68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-07,69,1,0.0144927536231884,0.000366857444740834,0.0781235357401634,0.0477392313109264,0.00120488344836351,0.238159909936821,0.293259853909624,0.0503863139819937,1
2020-04-08,77,1,0.012987012987013,0.000328748651410607,0.0702470606475968,0.0425942433460271,0.0011001686304415,0.21948660745348,0.328682913469475,0.054673039686685,1
2020-04-09,92,1,0.0108695652173913,0.000275155702770739,0.0590778511498148,0.0381962653698375,0.000973287893335031,0.196369646762539,0.366527980273574,0.0611092406481286,1
2020-04-10,110,1,0.00909090909090909,0.000230135405550293,0.0496111893119848,0.0342387489648253,0.000872646883579923,0.177644295488723,0.408893444511734,0.0675507196388514,1
2020-04-11,117,1,0.00854700854700855,0.000216368110276691,0.0467008524537953,0.0305706724117279,0.000766912075048109,0.157593972272497,0.457955252388533,0.0761450442993512,1
2020-04-12,138,1,0.0072463768115942,0.00018344554850505,0.0397117779928485,0.0272452946904253,0.000684031024694665,0.141603095611158,0.513850195385113,0.0847439100692543,1
2020-04-13,149,1,0.00671140939597315,0.00016990373911583,0.0368249343708844,0.0242381591428289,0.000617316893286519,0.128554020384146,0.57760162054807,0.093345972099056,1
2020-04-14,155,1,0.00645161290322581,0.00016332735730754,0.0354204348363534,0.0215746305696496,0.000550235694880711,0.11527182559799,0.648910300215972,0.104101760666565,1
