"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,111,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,177,1,0.00564971751412429,0.000143028233674847,0.0310746871318206,0.0597939315426097,0.00148817439126664,0.286889396667221,0.234137472462795,0.0418279662455405,1
2020-03-29,205,2,0.00975609756097561,0.00118370014971364,0.0347961260967231,0.0860438353999675,0.0107099660378759,0.280379335909411,0.162707763257207,0.0427991597921365,1
2020-03-30,247,2,0.00809716599190283,0.000982113017694562,0.0289420221140635,0.0640767504585683,0.00791098346185471,0.214216157163402,0.218487983547985,0.0560181834969923,1
2020-03-31,302,4,0.0132450331125828,0.00362030127021898,0.0335634732071656,0.0981405971030946,0.0272274667983608,0.231314549309461,0.142652484427961,0.0518774112386072,1
2020-04-01,343,6,0.0174927113702624,0.00644589224707391,0.0376835835677125,0.115076987901536,0.0435412039886871,0.234408322505105,0.121657685479037,0.0511927216224955,0.853801748912834
2020-04-02,389,7,0.0179948586118252,0.00726471177302785,0.0367233472524029,0.107008022339785,0.0444086569208471,0.209381599257904,0.130831312399602,0.0573116264396237,0.823868375259294
2020-04-03,432,7,0.0162037037037037,0.00653891087510772,0.0330995840740376,0.0868992263657522,0.0354538753324209,0.16998465670491,0.161106152327238,0.0705946067875512,0.999057400824759
2020-04-04,477,9,0.0188679245283019,0.00866301828306839,0.0355140559370448,0.0923393050610928,0.0433095726698309,0.168836189438991,0.151614742938962,0.0710748094935904,0.809815277737635
2020-04-05,509,13,0.0255402750491159,0.0136676438615366,0.0432786761075004,0.112032474025907,0.0610390004713613,0.18401534282248,0.124963767173101,0.0652119536118052,0.561019134335232
2020-04-06,562,14,0.0249110320284698,0.0136845043859958,0.0414435337991033,0.102905886723379,0.0574318137840876,0.166684311482684,0.136046638785917,0.0719923782463872,0.584807295971692
2020-04-07,612,14,0.0228758169934641,0.0125615375799314,0.0380841092361744,0.0888962354449059,0.0496113380090515,0.145089140603017,0.157486983896822,0.0827077750279987,0.662552654544535
2020-04-08,669,15,0.0224215246636771,0.0126021829782606,0.0367115791965916,0.0831354923822951,0.0473915677563035,0.133720333992053,0.168399796510756,0.0897395305691743,0.678697968631062
