"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-04,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-05,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-06,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-07,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-08,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-09,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-10,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-11,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-12,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-13,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-14,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-15,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-16,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-17,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-18,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-19,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-20,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-21,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-22,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-24,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
