"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-04,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-05,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-06,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-07,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-08,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-09,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-10,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-11,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-12,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-13,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-14,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-15,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-16,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-17,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-18,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-19,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-20,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-21,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-22,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-24,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
