"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02,34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-04,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-05,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-06,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-07,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-08,56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-09,61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-10,61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-11,64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-12,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-13,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-14,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-15,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-16,68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-17,68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-18,68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-19,68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-20,69,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-21,69,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-22,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-24,72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,73,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,73,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
