"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,93,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,104,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,128,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31,151,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,181,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02,203,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,234,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-04,259,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-05,276,1,0.0036231884057971,9.17269811720626e-05,0.0200207158166086,0.0159990046931624,0.000401789229084888,0.085295709299263,0.875054434228854,0.140687029846924,1
2020-04-06,286,2,0.00699300699300699,0.000848010393308509,0.0250314581007803,0.0273285348004419,0.00333532889311667,0.0954891638377892,0.512285056708331,0.125668709597089,1
2020-04-07,299,2,0.00668896321070234,0.00081109348459874,0.0239526444520749,0.0236911297172389,0.00289656297053299,0.0833744665669055,0.590938472208561,0.143928956839206,1
2020-04-08,325,2,0.00615384615384615,0.000746130102023361,0.022051840912452,0.0208279843996252,0.00253304678918473,0.0732368307949877,0.672172579515277,0.163851983622717,1
2020-04-09,340,2,0.00588235294117647,0.000713175797230988,0.0210864419297292,0.0185148038994274,0.00225059950165783,0.0652965469444737,0.756151676034385,0.183776946278713,1
2020-04-10,349,2,0.00573065902578797,0.00069476441584346,0.0205467362194728,0.0166165529877406,0.00202482233769308,0.0589092194670268,0.842533346737376,0.203703259159914,1
2020-04-11,364,5,0.0137362637362637,0.00447477076363227,0.031763113750416,0.0376256810081138,0.0123174549839638,0.085550407378194,0.372086288537368,0.140268180687339,1
2020-04-12,372,5,0.0134408602150538,0.00437822926548706,0.0310861781377206,0.034363530540075,0.0112115784489128,0.0781085361268865,0.407408662031193,0.153632376114515,1
2020-04-13,380,5,0.0131578947368421,0.00428576551528014,0.0304374926328236,0.0316272812241641,0.0103535367322256,0.0723025078244358,0.442655816691054,0.16596934686053,1
