"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31,63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02,114,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,156,1,0.00641025641025641,0.000162280472024412,0.0351967007148116,0.0618936753980931,0.00158111172276589,0.302320738434532,0.226194355238295,0.0396929435345324,1
2020-04-04,172,2,0.0116279069767442,0.00141130865300443,0.0413708531360422,0.0927758624721934,0.011205586024151,0.291612741553933,0.150901318801494,0.0411504652919311,1
2020-04-05,190,2,0.0105263157894737,0.00127733754452157,0.0375054370225961,0.0710316681943108,0.00877049670352714,0.235034773174591,0.197095188046299,0.0510562749414362,1
2020-04-06,221,2,0.00904977375565611,0.00109785474610049,0.0323067419257504,0.0558871130825343,0.00680030065402282,0.186636706457554,0.25050497740552,0.064296033871178,1
2020-04-07,240,2,0.00833333333333333,0.00101080340326716,0.0297769774118696,0.0450103183285191,0.00555295199537049,0.154731577658989,0.311039790872339,0.0775536589334507,1
2020-04-08,266,3,0.0112781954887218,0.00233190146378721,0.0326040503434358,0.0555329589520604,0.0116067743799413,0.153885033791633,0.252102539900417,0.0779802928480263,1
2020-04-09,286,3,0.0104895104895105,0.00216843520513781,0.0303470749832324,0.046521947927484,0.00977307495445655,0.130935737241406,0.30093322880251,0.0916480118630686,1
2020-04-10,331,3,0.00906344410876133,0.00187301435011542,0.0262573507877347,0.0395884014774259,0.00821559218059453,0.111053319125963,0.353638931543702,0.108056203042332,1
2020-04-11,377,3,0.00795755968169761,0.00164405611838657,0.0230780805423138,0.0340390324061839,0.00708630833762399,0.0964095625920028,0.411292537136179,0.124468980849783,1
2020-04-12,396,4,0.0101010101010101,0.0027588507401753,0.0256593889817525,0.0392979367550252,0.010786651332694,0.0973709624771345,0.356252799918554,0.123240026540951,1
