"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-04,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-05,41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-06,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-07,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-08,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-09,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-10,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-11,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-12,46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-13,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-14,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-15,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-16,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-17,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-18,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-19,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-20,56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-21,57,1,0.0175438596491228,0.000444073440089393,0.0939168418919107,0.0292691781941477,0.000744364234690261,0.153267669560318,0.478318861812091,0.078294398514864,1
2020-04-22,59,1,0.0169491525423729,0.000429023332723595,0.0908559328866493,0.028234696011724,0.000723104376338095,0.149172079656432,0.495843836752722,0.08044400820608,1
2020-04-23,76,1,0.0131578947368421,0.000333073571103067,0.071143691251719,0.0272584345895203,0.000684031024694665,0.141603095611158,0.513602494450742,0.0847439100692543,1
2020-04-24,81,1,0.0123456790123457,0.00031251668715383,0.0668756209322108,0.0261967860356721,0.000666036204202366,0.13809902979242,0.534416702145685,0.0868941658608137,1
2020-04-25,85,1,0.0117647058823529,0.000297812209658448,0.0638128785535284,0.0250299557759571,0.000632744932049419,0.131585858482766,0.559329793680574,0.0911952100200166,1
2020-04-26,92,1,0.0108695652173913,0.000275155702770739,0.0590778511498148,0.0238133765145646,0.000602623301603575,0.125658557174992,0.587904868989804,0.0954968787624132,1
2020-04-27,94,1,0.0106382978723404,0.000269302114485591,0.0578513397326704,0.0225864444441047,0.000575239213363083,0.120241582206347,0.619840809147548,0.0997990859718289,1
2020-04-28,97,1,0.0103092783505155,0.000260974270024206,0.0561041541050918,0.0213980850738059,0.000538531705342315,0.1129377171464,0.6542641526899,0.10625325447693,1
