"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-04,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-05,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-06,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-07,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-08,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-09,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-10,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-11,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-12,46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-13,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-14,62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-15,62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-16,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-17,73,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-18,81,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-19,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-20,93,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-21,104,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-22,114,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,128,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-24,134,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,143,1,0.00699300699300699,0.000177031936278859,0.0383454029963936,0.0205100057897408,0.000516556497593287,0.108541763968407,0.682593663966827,0.110556522773048,1
2020-04-26,156,1,0.00641025641025641,0.000162280472024412,0.0351967007148116,0.0186791022955067,0.000468738403817961,0.0989151595078512,0.749500686838025,0.121316086024686,1
2020-04-27,164,1,0.00609756097560976,0.000154364962455931,0.0335036771033872,0.0170576944398132,0.000429023332723595,0.0908559328866493,0.820743978583856,0.132077230608276,1
2020-04-28,169,1,0.00591715976331361,0.000149798293814932,0.0325258268306563,0.0156273877969809,0.000395512514050664,0.0840103264343537,0.8958630950916,0.142839583052649,1
