"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-03-03,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,156,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,201,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,238,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,342,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,537,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,632,1,0.00158227848101266,4.0059020375967e-05,0.00878407207670873,0.0128735598898072,0.000324534609097224,0.069372740785605,1.08750028118366,0.172978606064964,1
2020-03-23,746,1,0.00134048257372654,3.39375045177593e-05,0.00744584617128896,0.0098278085881333,0.000248183001269945,0.0534154103971862,1.42452916888353,0.224654269447158,1
2020-03-24,922,2,0.00216919739696312,0.000262807909300421,0.0078137164718628,0.0153245562684985,0.001854303171806,0.0540613808915615,0.913566419458338,0.221969912756577,1
2020-03-25,1142,3,0.00262697022767075,0.000542072399698813,0.00765775781600964,0.0181789791355759,0.00376533824752511,0.0522134094807322,0.770120252385475,0.229826018245912,1
2020-03-26,1306,4,0.00306278713629403,0.000835117450969902,0.00782322954441517,0.0193515352807567,0.00528953760666587,0.0487346063921947,0.723456810887853,0.246231597797862,1
2020-03-27,1610,5,0.0031055900621118,0.00100912182952192,0.0072324127117892,0.0195137713563557,0.00637142045480582,0.0449883211163743,0.717442043587343,0.266735892832249,1
2020-03-28,1909,6,0.00314300680984809,0.00115427452102135,0.00682836021546984,0.0190332704853407,0.00702143367241262,0.0409955391875192,0.735554092544564,0.292714774285816,1
2020-03-29,2139,7,0.00327255726975222,0.00131671884307636,0.00673102438178164,0.0181729932561913,0.00734050496811909,0.0371011918927684,0.770373917088776,0.323439743787288,1
2020-03-30,2449,8,0.00326663944467129,0.00141132547890392,0.00642638332077503,0.0171614471396204,0.00744005678871944,0.0335452791817836,0.815782019202703,0.357725447296812,1
2020-03-31,2738,12,0.0043827611395179,0.00226662490829918,0.0076432737731118,0.0214898648766853,0.0111603400772773,0.0372640160252039,0.651469894312309,0.322026482381386,1
2020-04-01,3031,16,0.00527878587924777,0.00302020220352089,0.0085582984489504,0.0241698219807136,0.0138764377025472,0.0389531098067559,0.579234717209392,0.308062695367104,1
2020-04-02,3404,18,0.00528789659224442,0.00313686334764333,0.008344328451243,0.0231711322997949,0.0137860937233078,0.0363659153476646,0.604200080464947,0.329979319516032,1
2020-04-03,3737,22,0.00588707519400589,0.00369296688145608,0.00889961184201571,0.0243489317147408,0.0153128169968953,0.0366146058387833,0.574973890600893,0.327738063133517,1
2020-04-04,4161,27,0.00648882480173035,0.00428040335747532,0.00942695658529247,0.0259012506972116,0.0171438632407896,0.0374774633051477,0.540514439386016,0.320192428774969,1
2020-04-05,4471,34,0.00760456273764259,0.00527196367293232,0.0106105442026679,0.0284731247506792,0.0197991253991694,0.0395661179183089,0.491691731153113,0.303289800247173,1
2020-04-06,4815,37,0.00768431983385254,0.0054160748348865,0.0105764114748989,0.0272479003970374,0.0192546101168145,0.0373607747619789,0.513801056081451,0.321192482662648,1
2020-04-07,5116,43,0.00840500390930414,0.00608923013639669,0.0113049584791663,0.0280547891765823,0.0203723612436808,0.0375980790969778,0.499023532555575,0.319165241635033,1
2020-04-08,5546,48,0.00865488640461594,0.00638812835081379,0.011458924037012,0.027948536905717,0.0206827041248356,0.0368958005007706,0.500920675999187,0.325240266836042,1
2020-04-09,5972,57,0.00954454119223041,0.00723673154944109,0.0123485909422267,0.0298042398374962,0.0226556151587538,0.0384536089304121,0.469731825952723,0.312064337620844,1
2020-04-10,6501,65,0.00999846177511152,0.00772483946566056,0.0127263405816117,0.0306769613937298,0.0237522725184129,0.0389321887229267,0.456368537297879,0.308228239758155,1
2020-04-11,6927,73,0.0105384726432799,0.00826932304966453,0.0132325493376549,0.0312216098356221,0.0245522122079721,0.0391000657878285,0.448407371487513,0.306904854460257,1
2020-04-12,7213,80,0.0110910855399972,0.00880406405877331,0.013785059588277,0.0311273335112275,0.024758395839973,0.0385937643114123,0.449765476858152,0.310931058788986,1
2020-04-13,7525,82,0.0108970099667774,0.00867583623737717,0.0135082508340849,0.0291603609266474,0.0232581073918437,0.0360682310776036,0.480103796904876,0.332702759228227,1
2020-04-14,7917,92,0.0116205633447013,0.00937781124241951,0.014232804705252,0.0300513024666481,0.0242962798761141,0.0367343944707395,0.46586999067803,0.326669329191162,1
2020-04-15,8273,94,0.0113622627825456,0.00919135434109626,0.0138868236846307,0.0283353208274904,0.022960037709172,0.0345691112534533,0.494082988692242,0.347130706138743,1
2020-04-16,8807,105,0.0119223345066424,0.0097613578957897,0.0144145595970003,0.0293310076080821,0.024049992612356,0.035395082650215,0.477310571360744,0.339030144909892,1
2020-04-17,9252,116,0.0125378296584522,0.0103710136163733,0.015019092367875,0.0301273292910702,0.0249593938224644,0.0360287641551804,0.464694359886378,0.333067211195879,1
2020-04-18,9730,126,0.0129496402877698,0.0107985491265709,0.0153991216783828,0.0305090526946333,0.0254766198865764,0.0362180115408175,0.458880193368399,0.331326858915931,1
2020-04-19,10088,133,0.0131839809674861,0.0110500114656895,0.0156053957539896,0.0300986964363812,0.0252592564310253,0.035568797018781,0.465136423087007,0.337374356340018,1
2020-04-20,10507,139,0.0132292757209479,0.011132736458956,0.0156016053895025,0.0294765661499523,0.0248341773426576,0.0347080600168078,0.474953558999363,0.345741017913097,1
2020-04-21,10832,147,0.0135709010339734,0.0114773878037819,0.0159315427608863,0.0292882274417115,0.0247997124359166,0.0343356149736668,0.478007760212267,0.349491337469949,1
2020-04-22,11296,160,0.0141643059490085,0.0120668121622238,0.0165173635278031,0.0300319181740109,0.0256124164588866,0.0349718098129713,0.466170689427203,0.34313351422691,1
2020-04-23,11812,168,0.014222824246529,0.0121655130567367,0.01652435637705,0.0297790923304032,0.0254975083905383,0.0345508004191653,0.470128499709394,0.347314674462466,1
2020-04-24,12306,174,0.0141394441735739,0.0121283486379825,0.0163848959922329,0.0291839972604152,0.0250599688777621,0.033778485385474,0.479714957312905,0.355255715673991,1
2020-04-25,12858,181,0.014076839321823,0.0121122443210507,0.0162656516396206,0.0287726105873702,0.0247807055235322,0.0332062577925816,0.486573853195835,0.361377667876832,1
2020-04-26,13331,189,0.0141774810591854,0.0122397161296189,0.0163313524192981,0.0285147097751845,0.0246415447105424,0.0328110914500557,0.490974662213949,0.365729985491831,1
2020-04-27,13813,198,0.0143343227394483,0.0124186997630205,0.0164583315915138,0.0283896732987928,0.0246196415438761,0.0325635105872473,0.493137059121964,0.368510636095222,1
2020-04-28,14365,207,0.0144100243647755,0.012525212876695,0.0164950819537228,0.028244730366719,0.0245714741525757,0.0322977803516409,0.49566768095249,0.371542560180621,0.999972936070241
