3-Marzo-2020	1	1	0	0
4-Marzo-2020	2	3	0	0
5-Marzo-2020	1	4	0	0
6-Marzo-2020	1	5	0	0
7-Marzo-2020	2	7	0	0
8-Marzo-2020	3	10	0	0
9-Marzo-2020	3	13	0	0
10-Marzo-2020	4	17	0	0
11-Marzo-2020	6	23	0	0
12-Marzo-2020	11	34	0	0
13-Marzo-2020	9	43	0	0
14-Marzo-2020	18	61	0	0
15-Marzo-2020	14	75	0	0
16-Marzo-2020	81	156	0	0
17-Marzo-2020	45	201	1	0
18-Marzo-2020	37	238	3	0
19-Marzo-2020	104	342	5	0
20-Marzo-2020	92	434	6	0
21-Marzo-2020	103	537	8	1
22-Marzo-2020	95	632	8	1
23-Marzo-2020	114	746	11	2
24-Marzo-2020	176	922	17	2
25-Marzo-2020	220	1142	22	3
26-Marzo-2020	164	1306	33	4
27-Marzo-2020	304	1610	43	5
28-Marzo-2020	299	1909	61	6
29-Marzo-2020	230	2139	75	7
30-Marzo-2020	310	2449	156	8
31-Marzo-2020	289	2738	156	12
1-Abril-2020	293	3031	234	16
2-Abril-2020	373	3404	335	18
3-Abril-2020	333	3737	427	22
4-Abril-2020	424	4161	528	27
5-Abril-2020	310	4471	617	34
6-Abril-2020	344	4815	728	37
7-Abril-2020	301	5116	898	43
